language,count,percentage
English,94717,62.46
Chinese,25593,16.88
Other,10323,6.81
Russian,4150,2.74
Arabic,3990,2.63
Korean,3616,2.38
Hebrew,3188,2.1
Thai,2570,1.69
Japanese,2162,1.43
Greek,239,0.16
Amharic,118,0.08
Armenian,79,0.05
Inuktitut,72,0.05
Hindi,69,0.05
Bengali,47,0.03
Tibetan,44,0.03
Khmer,38,0.03
Burmese,37,0.02
Georgian,36,0.02
Malayalam,33,0.02
Lao,33,0.02
Nko,32,0.02
Tamil,30,0.02
Syriac,30,0.02
Mongolian,30,0.02
Coptic,27,0.02
Sinhala,26,0.02
Tifinagh,25,0.02
Kannada,25,0.02
Javanese,22,0.01
Northern Thai,20,0.01
Yi,17,0.01
Gujarati,16,0.01
Cherokee,15,0.01
Telugu,14,0.01
Tai Viet,13,0.01
Old Norse,12,0.01
Tai Le,10,0.01
Punjabi,10,0.01
Gothic,10,0.01
Ancient Egyptian,9,0.01
Glagolitic,9,0.01
Dhivehi,8,0.01
Braille,7,0.0
Odia,7,0.0
Mandaic,6,0.0
Phags-pa,6,0.0
Phoenician,6,0.0
Sumerian,6,0.0
Buginese,5,0.0
Balinese,4,0.0
Bamum,4,0.0
Samaritan,4,0.0
Parthian,4,0.0
Old Turkic,4,0.0
Old Irish,3,0.0
Limbu,3,0.0
Vai,1,0.0
Sundanese,1,0.0
Batak,1,0.0
Lepcha,1,0.0
Santali,1,0.0
Lisu,1,0.0
Cham,1,0.0
Old Persian,1,0.0
Kaithi,1,0.0
Marathi,1,0.0
